name,address,website,tel
Smile Tiger Coffee Roasters,"100 Ahrens St W, Kitchener, ON N2H 4C3",,519-208-0227
"1
Fiddlehead Health & Nutrition","5-245 The Boardwalk, Waterloo, ON N2T 0A6",/gourl/96f9cf720a4679959d79beecf0b7ed0455bc6113?redirect=http%3A%2F%2Fwww.fiddleheadshealth.com%2Fsmoothie-bar-cafe%2F,519-885-7007
"2
Fiddleheads Health & Nutrition","75 Bridgeport Rd E, Waterloo, ON N2J 2K1",,519-746-2000
"3
Fiddleheads Health and Nutrition","438 Highland Rd W, Kitchener, ON N2M 3C7",/gourl/a529321128c890d23ce1484f2d5439a2076a6e54?redirect=http%3A%2F%2Fwww.fiddleheads.com%2F,519-749-8473
Fiddleheads Health & Nutrition,"480 Hespeler Rd, Cambridge, ON N1R 7R9",/gourl/f881745b1db9f5aff562d677bebe05eae18f1ec7?redirect=http%3A%2F%2Fwww.fiddleheadshealth.com%2F,519-624-6879
Van Houtte Coffee Services Inc,"2-265 Frobisher Dr, Waterloo, ON N2V 2G4",,519-746-4411
Symposium Cafe Restaurant & Lounge,"4 King Street North, Waterloo, ON N2J 2W7",/gourl/4dca9c5581d93d269fc28a75031f718fe9ee10a9?redirect=https%3A%2F%2Fsymposiumcafe.com%2Flocations%2Fwaterloo-restaurants,519-746-3550
Williams Fresh Cafe,"30 Northfield Dr E, Waterloo, ON N2L 6A1",/gourl/98e7dca378b76ede29a3c642ff1781f308557688?redirect=https%3A%2F%2Fwilliamsfreshcafe.com%2F,519-885-7610
"4
Fiddleheads Health & Nutrition","25 Bruce St, Kitchener, ON N2B 1Y4",,519-749-8473
Coffee Time Donuts,"2351 Fischer Hallman Rd RR 1, New Dundee, ON N0B 2E0",,519-696-2445
Lady Glaze Donuts,"701 Belmont Ave W, Kitchener, ON N2M 1P1",,519-954-2424
Battco,"142 Waterloo St, Waterloo, ON N2J 1Y2",,519-570-2150
Red Circle Coffee Co.,"390-137 Glasgow St, Kitchener, ON N2G 4X8",,519-514-1821
Settlement Co.,"1 Victoria St S, Kitchener, ON N2G 0B5",,226-971-0739
Job Cafe,"97 Victoria St N, Kitchener, ON N2H 5C1",,519-513-9225
Sweet Lou's Cookies,"622-404 King St W, Kitchener, ON N2G 4Z9",,519-573-0885
Balzacs Coffee,"151 Charles St W, Kitchener, ON N2G 1H6",/gourl/73c2f187e80a275a4b8799d102ddf5fa38ce999c?redirect=http%3A%2F%2Fwww.balzacs.com%2F,519-743-3200
Smile Tiger Coffee Roasters,"100 Ahrens St W, Kitchener, ON N2H 4C3",,519-208-0227
"1
Fiddlehead Health & Nutrition","5-245 The Boardwalk, Waterloo, ON N2T 0A6",/gourl/96f9cf720a4679959d79beecf0b7ed0455bc6113?redirect=http%3A%2F%2Fwww.fiddleheadshealth.com%2Fsmoothie-bar-cafe%2F,519-885-7007
"2
Fiddleheads Health and Nutrition","438 Highland Rd W, Kitchener, ON N2M 3C7",/gourl/a529321128c890d23ce1484f2d5439a2076a6e54?redirect=http%3A%2F%2Fwww.fiddleheads.com%2F,519-749-8473
"3
Fiddleheads Health & Nutrition","75 Bridgeport Rd E, Waterloo, ON N2J 2K1",,519-746-2000
Fiddleheads Health & Nutrition,"480 Hespeler Rd, Cambridge, ON N1R 7R9",/gourl/f881745b1db9f5aff562d677bebe05eae18f1ec7?redirect=http%3A%2F%2Fwww.fiddleheadshealth.com%2F,519-624-6879
Van Houtte Coffee Services Inc,"2-265 Frobisher Dr, Waterloo, ON N2V 2G4",,519-746-4411
Symposium Cafe Restaurant & Lounge,"4 King Street North, Waterloo, ON N2J 2W7",/gourl/4dca9c5581d93d269fc28a75031f718fe9ee10a9?redirect=https%3A%2F%2Fsymposiumcafe.com%2Flocations%2Fwaterloo-restaurants,519-746-3550
Williams Fresh Cafe,"30 Northfield Dr E, Waterloo, ON N2L 6A1",/gourl/98e7dca378b76ede29a3c642ff1781f308557688?redirect=https%3A%2F%2Fwilliamsfreshcafe.com%2F,519-885-7610
"4
Fiddleheads Health & Nutrition","25 Bruce St, Kitchener, ON N2B 1Y4",,519-749-8473
Coffee Time Donuts,"2351 Fischer Hallman Rd RR 1, New Dundee, ON N0B 2E0",,519-696-2445
Lady Glaze Donuts,"701 Belmont Ave W, Kitchener, ON N2M 1P1",,519-954-2424
Battco,"142 Waterloo St, Waterloo, ON N2J 1Y2",,519-570-2150
Red Circle Coffee Co.,"390-137 Glasgow St, Kitchener, ON N2G 4X8",,519-514-1821
Settlement Co.,"1 Victoria St S, Kitchener, ON N2G 0B5",,226-971-0739
Job Cafe,"97 Victoria St N, Kitchener, ON N2H 5C1",,519-513-9225
Sweet Lou's Cookies,"622-404 King St W, Kitchener, ON N2G 4Z9",,519-573-0885
Balzacs Coffee,"151 Charles St W, Kitchener, ON N2G 1H6",/gourl/73c2f187e80a275a4b8799d102ddf5fa38ce999c?redirect=http%3A%2F%2Fwww.balzacs.com%2F,519-743-3200
Smile Tiger Coffee Roasters,"100 Ahrens St W, Kitchener, ON N2H 4C3",,519-208-0227
"1
Fiddlehead Health & Nutrition","5-245 The Boardwalk, Waterloo, ON N2T 0A6",/gourl/96f9cf720a4679959d79beecf0b7ed0455bc6113?redirect=http%3A%2F%2Fwww.fiddleheadshealth.com%2Fsmoothie-bar-cafe%2F,519-885-7007
"2
Fiddleheads Health and Nutrition","438 Highland Rd W, Kitchener, ON N2M 3C7",/gourl/a529321128c890d23ce1484f2d5439a2076a6e54?redirect=http%3A%2F%2Fwww.fiddleheads.com%2F,519-749-8473
"3
Fiddleheads Health & Nutrition","75 Bridgeport Rd E, Waterloo, ON N2J 2K1",,519-746-2000
Fiddleheads Health & Nutrition,"480 Hespeler Rd, Cambridge, ON N1R 7R9",/gourl/f881745b1db9f5aff562d677bebe05eae18f1ec7?redirect=http%3A%2F%2Fwww.fiddleheadshealth.com%2F,519-624-6879
Van Houtte Coffee Services Inc,"2-265 Frobisher Dr, Waterloo, ON N2V 2G4",,519-746-4411
Symposium Cafe Restaurant & Lounge,"4 King Street North, Waterloo, ON N2J 2W7",/gourl/4dca9c5581d93d269fc28a75031f718fe9ee10a9?redirect=https%3A%2F%2Fsymposiumcafe.com%2Flocations%2Fwaterloo-restaurants,519-746-3550
Williams Fresh Cafe,"30 Northfield Dr E, Waterloo, ON N2L 6A1",/gourl/98e7dca378b76ede29a3c642ff1781f308557688?redirect=https%3A%2F%2Fwilliamsfreshcafe.com%2F,519-885-7610
"4
Fiddleheads Health & Nutrition","25 Bruce St, Kitchener, ON N2B 1Y4",,519-749-8473
Coffee Time Donuts,"2351 Fischer Hallman Rd RR 1, New Dundee, ON N0B 2E0",,519-696-2445
Lady Glaze Donuts,"701 Belmont Ave W, Kitchener, ON N2M 1P1",,519-954-2424
Battco,"142 Waterloo St, Waterloo, ON N2J 1Y2",,519-570-2150
Red Circle Coffee Co.,"390-137 Glasgow St, Kitchener, ON N2G 4X8",,519-514-1821
Settlement Co.,"1 Victoria St S, Kitchener, ON N2G 0B5",,226-971-0739
Job Cafe,"97 Victoria St N, Kitchener, ON N2H 5C1",,519-513-9225
Sweet Lou's Cookies,"622-404 King St W, Kitchener, ON N2G 4Z9",,519-573-0885
Balzacs Coffee,"151 Charles St W, Kitchener, ON N2G 1H6",/gourl/73c2f187e80a275a4b8799d102ddf5fa38ce999c?redirect=http%3A%2F%2Fwww.balzacs.com%2F,519-743-3200
Smile Tiger Coffee Roasters,"100 Ahrens St W, Kitchener, ON N2H 4C3",,519-208-0227
"1
Fiddlehead Health & Nutrition","5-245 The Boardwalk, Waterloo, ON N2T 0A6",/gourl/96f9cf720a4679959d79beecf0b7ed0455bc6113?redirect=http%3A%2F%2Fwww.fiddleheadshealth.com%2Fsmoothie-bar-cafe%2F,519-885-7007
"2
Fiddleheads Health and Nutrition","438 Highland Rd W, Kitchener, ON N2M 3C7",/gourl/a529321128c890d23ce1484f2d5439a2076a6e54?redirect=http%3A%2F%2Fwww.fiddleheads.com%2F,519-749-8473
"3
Fiddleheads Health & Nutrition","75 Bridgeport Rd E, Waterloo, ON N2J 2K1",,519-746-2000
Fiddleheads Health & Nutrition,"480 Hespeler Rd, Cambridge, ON N1R 7R9",/gourl/f881745b1db9f5aff562d677bebe05eae18f1ec7?redirect=http%3A%2F%2Fwww.fiddleheadshealth.com%2F,519-624-6879
Van Houtte Coffee Services Inc,"2-265 Frobisher Dr, Waterloo, ON N2V 2G4",,519-746-4411
Symposium Cafe Restaurant & Lounge,"4 King Street North, Waterloo, ON N2J 2W7",/gourl/4dca9c5581d93d269fc28a75031f718fe9ee10a9?redirect=https%3A%2F%2Fsymposiumcafe.com%2Flocations%2Fwaterloo-restaurants,519-746-3550
Williams Fresh Cafe,"30 Northfield Dr E, Waterloo, ON N2L 6A1",/gourl/98e7dca378b76ede29a3c642ff1781f308557688?redirect=https%3A%2F%2Fwilliamsfreshcafe.com%2F,519-885-7610
"4
Fiddleheads Health & Nutrition","25 Bruce St, Kitchener, ON N2B 1Y4",,519-749-8473
Coffee Time Donuts,"2351 Fischer Hallman Rd RR 1, New Dundee, ON N0B 2E0",,519-696-2445
Lady Glaze Donuts,"701 Belmont Ave W, Kitchener, ON N2M 1P1",,519-954-2424
Battco,"142 Waterloo St, Waterloo, ON N2J 1Y2",,519-570-2150
Red Circle Coffee Co.,"390-137 Glasgow St, Kitchener, ON N2G 4X8",,519-514-1821
Settlement Co.,"1 Victoria St S, Kitchener, ON N2G 0B5",,226-971-0739
Job Cafe,"97 Victoria St N, Kitchener, ON N2H 5C1",,519-513-9225
Sweet Lou's Cookies,"622-404 King St W, Kitchener, ON N2G 4Z9",,519-573-0885
Balzacs Coffee,"151 Charles St W, Kitchener, ON N2G 1H6",/gourl/73c2f187e80a275a4b8799d102ddf5fa38ce999c?redirect=http%3A%2F%2Fwww.balzacs.com%2F,519-743-3200
Smile Tiger Coffee Roasters,"100 Ahrens St W, Kitchener, ON N2H 4C3",,519-208-0227
"1
Fiddleheads Health & Nutrition","75 Bridgeport Rd E, Waterloo, ON N2J 2K1",,519-746-2000
"2
Fiddleheads Health and Nutrition","438 Highland Rd W, Kitchener, ON N2M 3C7",/gourl/a529321128c890d23ce1484f2d5439a2076a6e54?redirect=http%3A%2F%2Fwww.fiddleheads.com%2F,519-749-8473
"3
Fiddlehead Health & Nutrition","5-245 The Boardwalk, Waterloo, ON N2T 0A6",/gourl/96f9cf720a4679959d79beecf0b7ed0455bc6113?redirect=http%3A%2F%2Fwww.fiddleheadshealth.com%2Fsmoothie-bar-cafe%2F,519-885-7007
Fiddleheads Health & Nutrition,"480 Hespeler Rd, Cambridge, ON N1R 7R9",/gourl/f881745b1db9f5aff562d677bebe05eae18f1ec7?redirect=http%3A%2F%2Fwww.fiddleheadshealth.com%2F,519-624-6879
Van Houtte Coffee Services Inc,"2-265 Frobisher Dr, Waterloo, ON N2V 2G4",,519-746-4411
Symposium Cafe Restaurant & Lounge,"4 King Street North, Waterloo, ON N2J 2W7",/gourl/4dca9c5581d93d269fc28a75031f718fe9ee10a9?redirect=https%3A%2F%2Fsymposiumcafe.com%2Flocations%2Fwaterloo-restaurants,519-746-3550
Williams Fresh Cafe,"30 Northfield Dr E, Waterloo, ON N2L 6A1",/gourl/98e7dca378b76ede29a3c642ff1781f308557688?redirect=https%3A%2F%2Fwilliamsfreshcafe.com%2F,519-885-7610
"4
Fiddleheads Health & Nutrition","25 Bruce St, Kitchener, ON N2B 1Y4",,519-749-8473
Coffee Time Donuts,"2351 Fischer Hallman Rd RR 1, New Dundee, ON N0B 2E0",,519-696-2445
Lady Glaze Donuts,"701 Belmont Ave W, Kitchener, ON N2M 1P1",,519-954-2424
Battco,"142 Waterloo St, Waterloo, ON N2J 1Y2",,519-570-2150
Red Circle Coffee Co.,"390-137 Glasgow St, Kitchener, ON N2G 4X8",,519-514-1821
Settlement Co.,"1 Victoria St S, Kitchener, ON N2G 0B5",,226-971-0739
Job Cafe,"97 Victoria St N, Kitchener, ON N2H 5C1",,519-513-9225
Sweet Lou's Cookies,"622-404 King St W, Kitchener, ON N2G 4Z9",,519-573-0885
Balzacs Coffee,"151 Charles St W, Kitchener, ON N2G 1H6",/gourl/73c2f187e80a275a4b8799d102ddf5fa38ce999c?redirect=http%3A%2F%2Fwww.balzacs.com%2F,519-743-3200
Smile Tiger Coffee Roasters,"100 Ahrens St W, Kitchener, ON N2H 4C3",,519-208-0227
"1
Fiddleheads Health & Nutrition","75 Bridgeport Rd E, Waterloo, ON N2J 2K1",,519-746-2000
"2
Fiddleheads Health and Nutrition","438 Highland Rd W, Kitchener, ON N2M 3C7",/gourl/a529321128c890d23ce1484f2d5439a2076a6e54?redirect=http%3A%2F%2Fwww.fiddleheads.com%2F,519-749-8473
"3
Fiddlehead Health & Nutrition","5-245 The Boardwalk, Waterloo, ON N2T 0A6",/gourl/96f9cf720a4679959d79beecf0b7ed0455bc6113?redirect=http%3A%2F%2Fwww.fiddleheadshealth.com%2Fsmoothie-bar-cafe%2F,519-885-7007
Fiddleheads Health & Nutrition,"480 Hespeler Rd, Cambridge, ON N1R 7R9",/gourl/f881745b1db9f5aff562d677bebe05eae18f1ec7?redirect=http%3A%2F%2Fwww.fiddleheadshealth.com%2F,519-624-6879
Van Houtte Coffee Services Inc,"2-265 Frobisher Dr, Waterloo, ON N2V 2G4",,519-746-4411
Symposium Cafe Restaurant & Lounge,"4 King Street North, Waterloo, ON N2J 2W7",/gourl/4dca9c5581d93d269fc28a75031f718fe9ee10a9?redirect=https%3A%2F%2Fsymposiumcafe.com%2Flocations%2Fwaterloo-restaurants,519-746-3550
Williams Fresh Cafe,"30 Northfield Dr E, Waterloo, ON N2L 6A1",/gourl/98e7dca378b76ede29a3c642ff1781f308557688?redirect=https%3A%2F%2Fwilliamsfreshcafe.com%2F,519-885-7610
"4
Fiddleheads Health & Nutrition","25 Bruce St, Kitchener, ON N2B 1Y4",,519-749-8473
Coffee Time Donuts,"2351 Fischer Hallman Rd RR 1, New Dundee, ON N0B 2E0",,519-696-2445
Lady Glaze Donuts,"701 Belmont Ave W, Kitchener, ON N2M 1P1",,519-954-2424
Battco,"142 Waterloo St, Waterloo, ON N2J 1Y2",,519-570-2150
Red Circle Coffee Co.,"390-137 Glasgow St, Kitchener, ON N2G 4X8",,519-514-1821
Settlement Co.,"1 Victoria St S, Kitchener, ON N2G 0B5",,226-971-0739
Job Cafe,"97 Victoria St N, Kitchener, ON N2H 5C1",,519-513-9225
Sweet Lou's Cookies,"622-404 King St W, Kitchener, ON N2G 4Z9",,519-573-0885
Balzacs Coffee,"151 Charles St W, Kitchener, ON N2G 1H6",/gourl/73c2f187e80a275a4b8799d102ddf5fa38ce999c?redirect=http%3A%2F%2Fwww.balzacs.com%2F,519-743-3200
Smile Tiger Coffee Roasters,"100 Ahrens St W, Kitchener, ON N2H 4C3",,519-208-0227
"1
Fiddleheads Health and Nutrition","438 Highland Rd W, Kitchener, ON N2M 3C7",/gourl/a529321128c890d23ce1484f2d5439a2076a6e54?redirect=http%3A%2F%2Fwww.fiddleheads.com%2F,519-749-8473
"2
Fiddlehead Health & Nutrition","5-245 The Boardwalk, Waterloo, ON N2T 0A6",/gourl/96f9cf720a4679959d79beecf0b7ed0455bc6113?redirect=http%3A%2F%2Fwww.fiddleheadshealth.com%2Fsmoothie-bar-cafe%2F,519-885-7007
"3
Fiddleheads Health & Nutrition","75 Bridgeport Rd E, Waterloo, ON N2J 2K1",,519-746-2000
Fiddleheads Health & Nutrition,"480 Hespeler Rd, Cambridge, ON N1R 7R9",/gourl/f881745b1db9f5aff562d677bebe05eae18f1ec7?redirect=http%3A%2F%2Fwww.fiddleheadshealth.com%2F,519-624-6879
Van Houtte Coffee Services Inc,"2-265 Frobisher Dr, Waterloo, ON N2V 2G4",,519-746-4411
Symposium Cafe Restaurant & Lounge,"4 King Street North, Waterloo, ON N2J 2W7",/gourl/4dca9c5581d93d269fc28a75031f718fe9ee10a9?redirect=https%3A%2F%2Fsymposiumcafe.com%2Flocations%2Fwaterloo-restaurants,519-746-3550
Williams Fresh Cafe,"30 Northfield Dr E, Waterloo, ON N2L 6A1",/gourl/98e7dca378b76ede29a3c642ff1781f308557688?redirect=https%3A%2F%2Fwilliamsfreshcafe.com%2F,519-885-7610
"4
Fiddleheads Health & Nutrition","25 Bruce St, Kitchener, ON N2B 1Y4",,519-749-8473
Coffee Time Donuts,"2351 Fischer Hallman Rd RR 1, New Dundee, ON N0B 2E0",,519-696-2445
Lady Glaze Donuts,"701 Belmont Ave W, Kitchener, ON N2M 1P1",,519-954-2424
Battco,"142 Waterloo St, Waterloo, ON N2J 1Y2",,519-570-2150
Red Circle Coffee Co.,"390-137 Glasgow St, Kitchener, ON N2G 4X8",,519-514-1821
Settlement Co.,"1 Victoria St S, Kitchener, ON N2G 0B5",,226-971-0739
Job Cafe,"97 Victoria St N, Kitchener, ON N2H 5C1",,519-513-9225
Sweet Lou's Cookies,"622-404 King St W, Kitchener, ON N2G 4Z9",,519-573-0885
Balzacs Coffee,"151 Charles St W, Kitchener, ON N2G 1H6",/gourl/73c2f187e80a275a4b8799d102ddf5fa38ce999c?redirect=http%3A%2F%2Fwww.balzacs.com%2F,519-743-3200
Smile Tiger Coffee Roasters,"100 Ahrens St W, Kitchener, ON N2H 4C3",,519-208-0227
